index,composition,
2096,Pb0.92Sn0.08Te,1
2097,Cs2HgI2Cl2,1
2098,PbTe,1
2099,ZnS,1
2100,Ge0.891Si0.109,1
2101,Ba2GaSbSe5,1
2102,La4InSbSe9,1
2103,AgAlSe2,1
2104,Pb0.999Sn0.001Te,1
2105,BaF2,1
2106,InAs,1
2107,Ge0.8Si0.2,1
2108,GaSe,1
2109,InS,1
2110,Ga0.8In0.2As,1
2111,YbS,1
2112,TlCu3Lu2Se5,1
2113,GaTe,1
2114,LiF,1
2115,Cu0.99Ga1.01Se2.01,1
2116,Gd3.04Sc0.96S6,1
2117,Pb0.999TeGa0.001,1
2118,CdTe,1
2119,CdSiP2,1
2120,Ba2ScTaO6,1
2121,ZnSnSb2,1
2122,La2MnNiO6,1
2123,ZnIn2S4,1
2124,TlPS2,1
2125,Mg2Sn,1
2126,Li2ZnSnSe4,1
2127,ZnAs2,1
2128,TlInSe2,1
2129,ZnSnSb2,1
2130,InP,1
2131,RbH3Se2O6,1
2132,Pb0.83Sn0.17Se,1
2133,CdTe,1
2134,Ga2Te3,1
2135,Ba2InErTe5,1
2136,CuI,1
2137,SnS0.8Se0.2,1
2138,Ga2GeTe3,1
2139,Ge0.92Si0.08,1
2140,Ge0.93Si0.07,1
2141,Er2Se3,1
2142,Bi2I4O13,1
2143,NaGe3P3,1
2144,K2ZnSn2Se6,1
2145,PtSe2,1
2146,GeS,1
2147,Cu2ZnSnTe4,1
2148,AlVTe2O8,1
2149,PtP2,1
2150,AgAlTe2,1
2151,Bi3In4S10,1
2152,NaI,1
2153,AlP,1
2154,Ag2.7Ba6Sn4.3S16,1
2155,SnGeS3,1
2156,CaSm2S4,1
2157,K8Al8Si38,1
2158,BiSI,1
2159,Ce2YbCuS5,1
2160,Cu2O,1
2161,PbCl2,1
2162,CdGa2Se4,1
2163,BaClBF4,1
2164,Sn2S,1
2165,CdSb,1
2166,Pb0.995TeTl0.005,1
2167,GaAs0.99Sb0.01,1
2168,Cs2Te,1
2169,Th2Se5,1
2170,Fe2TiSi,1
2171,Hg0.1Zn0.9Te,1
2172,PbGeS3,1
2173,Na2KSb,1
2174,Mn2.04Gd1.47In0.49S5,1
2175,KAg2SbS4,1
2176,TlCl,1
2177,InSe,1
2178,Cs2CuNbSe4,1
2179,ZnIn2S4,1
2180,GaSb,1
2181,CuAlSe2,1
2182,La3CuGaSe7,1
2183,Cu2CdGeSe4,1
2184,Ba8Al10B12O41,1
2185,Bi12SiO20,1
2186,Ga2Te3O9,1
2187,HfS3,1
2188,Pb0.95Sn0.05Se,1
2189,InP,1
2190,KInSe2,1
2191,ZnO,1
2192,BiZn2VO6,1
2193,Hg0.3Cd0.7Se,1
2194,TaGaSe2,1
2195,KFe2BiO5,1
2196,Ga2Te3,1
2197,Cs2Cd3B16O28,1
2198,TlInTe2,1
2199,CuCl,1
2200,HfS2,1
2201,Fe4I3O24H15,1
2202,Cu0.35Ga1.65Se2.65,1
2203,KIO3,1
2204,K2AgSnSe4,1
2205,SmTe,1
2206,SmB66,1
2207,Ag3AsSe3,1
2208,Pr2Te3,1
2209,RbCl,1
2210,CdSe,1
2211,CsSbS2,1
2212,GaAs,1
2213,CdSe,1
2214,Li6Al2Te8O22,1
2215,Rb3Bi2Br9,1
2216,SnS,1
2217,Pr10OSe14,1
2218,EuS,1
2219,CuInSe2,1
2220,CuGaSe2,1
2221,Ag2SnS3,1
2222,BaTe,1
2223,Pb2B3O7.5H2,1
2224,YbSb2Te4,1
2225,Cs2Zn3Se4O12,1
2226,CeScO3,1
2227,SnSe,1
2228,Ag3AsS3,1
2229,Cu3AsSe4,1
2230,AlSb,1
2231,ZnTe,1
2232,Tl2TeI6,1
2233,AlB12,1
2234,Zn0.9Hg0.1Se,1
2235,ZnIn2S4,1
2236,Cd4As2Br3,1
2237,PbBr2,1
2238,AlB12,1
2239,Rh0.67Se2,1
2240,Ge0.001Si0.999,1
2241,Ga0.95Sb0.95Zn0.05Te0.05,1
2242,LiPbB9O15,1
2243,La2V2IO9,1
2244,CuCl,1
2245,Sn2SbS2I3,1
2246,Cd3P2,1
2247,Ba2B6O9(OH)4,1
2248,Nd2Se3,1
2249,Nd4InSbSe9,1
2250,Sm2O3,1
2251,ZnS,1
2252,TlInSe2,1
2253,YbTe,1
2254,RbZn4In5Se12,1
2255,TlInSe2,1
2256,Ga2Se2O7,1
2257,DyTe1.7,1
2258,Na2CdGe2S6,1
2259,NH6PO4,1
2260,ZnS,1
2261,AgGaS2,1
2262,InSb2Se4Br,1
2263,CdTeO3,1
2264,Cu2GeS3,1
2265,Sm4InSbS9,1
2266,Cs4Pb4Ge5S16,1
2267,HgGa2S4,1
2268,Cd3As2,1
2269,CsSmCdSe3,1
2270,CaF2,1
2271,ErN,1
2272,Hg0.25Zn0.75Te,1
2273,RbMoPO6,1
2274,RuPS,1
2275,CuCl,1
2276,NaI,1
2277,InAs,1
2278,GaSb,1
2279,SrSeO4,1
2280,SnSe,1
2281,TlCr5Se8,1
2282,TlInGeS4,1
2283,La3Sb0.33SiSe7,1
2284,CuInTe2,1
2285,K2Cu2ThS4,1
2286,K2Gd2Ti3O10,1
2287,Hg0.8Cd0.2Se,1
2288,As2Se3,1
2289,K2ZnSn3S8,1
2290,InP,1
2291,CuIn3S5,1
2292,ZnO,1
2293,Ga2S3,1
2294,GaSb,1
2295,CdP4,1
2296,TlCr5SSe7,1
2297,GaSe,1
2298,Sn2BiS2I3,1
2299,Cu0.35In1.65Se2.65,1
2300,Ba4Ge3S9Cl2,1
2301,CdSe,1
2302,BiSeBr,1
2303,Zn0.85S0.85Ga0.15P0.15,1
2304,NiS2,1
2305,Na8Eu2Ge4S12,1
2306,CaGd2S4,1
2307,Ho2S3,1
2308,K3Cu3Th2S7,1
2309,CuGaS2,1
2310,K4Nb2S11,1
2311,MoTe2,1
2312,IrSe2,1
2313,CdS,1
2314,K2ZnSn3S8,1
2315,Ga2Se3,1
2316,TlSe,1
2317,Ir2Sn3Se3,1
2318,Zn0.5Cd0.5Se,1
2319,CuZr1.86S4,1
2320,ZnS,1
2321,Hg0.8Cd0.2Se,1
2322,BaHgSe2,1
2323,La3GaGe0.5S7,1
2324,CeF3,1
2325,Cu3GdSe3,1
2326,Ce2O2FeSe2,1
2327,Dy4GaSbS9,1
2328,GaSe,1
2329,Ru2Si3,1
2330,CdP2,1
2331,AgIn3Te5,1
2332,CdSb,1
2333,InP2S4,1
2334,Zn0.55S0.55Ga0.45P0.45,1
2335,PbSeO4,1
2336,ZnSnP2,1
2337,Ba3SnSb2Se8,1
2338,LiAlB14,1
2339,Ga0.2In0.8As,1
2340,AgS,1
2341,Tb2Mo3O12,1
2342,LaB6,1
2343,NaAlGeS4,1
2344,CdSb,1
2345,Ag2NbP2S8,1
2346,LaGaO3,1
2347,Na0.5Pb1.75GeSe4,1
2348,As2S3,1
2349,InP,1
2350,CuGaS2,1
2351,InAs,1
2352,CaO,1
2353,Ba4CuGa5S12,1
2354,CsCdBO3,1
2355,Ga0.3P0.3Zn0.7Se0.7,1
2356,SmSnTe2,1
2357,ThO2,1
2358,BaTiO3,1
2359,RuAsS,1
2360,SbSI,1
2361,CeIn3S6,1
2362,NiP2,1
2363,AgTlSe2,1
2364,GaS,1
2365,CdS,1
2366,CuCd2InTe4,1
2367,GeAs2,1
2368,GeSe,1
2369,KBiSe2,1
2370,CdSe,1
2371,AgSbS2,1
2372,GeS,1
2373,SrSe,1
2374,PdP2,1
2375,Ba4Ga4SnSe12,1
2376,Na2GeIn2Se6,1
2377,Ba2In2S5,1
2378,BaCuSbS3,1
2379,Na2ZnGe2S6,1
2380,InSe,1
2381,Sb2S3,1
2382,GeSe2,1
2383,K3Cr2P3S12,1
2384,CdSe,1
2385,YClMoO4,1
2386,ReSi2,1
2387,As2S3,1
2388,Ag2MoI4O14,1
2389,Cd3As2,1
2390,HoN,1
2391,GeS,1
2392,CdSnAs2,1
2393,In0.99As0.99Ga0.01P0.01,1
2394,SmP,1
2395,CaF2,1
2396,CuCl,1
2397,Zn3P2S8,1
2398,GaP,1
2399,Ga0.58As0.58Zn0.42Se0.42,1
2400,CsYCdSe3,1
2401,In2GeTe3,1
2402,PdPS,1
2403,Na2Ga2SnS6,1
2404,Fe2P3B1O12,1
2405,ReO3,1
2406,Pb2BiS2I3,1
2407,Li3AlP2,1
2408,Cs2Sn3Sb2S10,1
2409,TlHg6S4Br5,1
2410,Rb3Sb,1
2411,Ce2YbCuSe5,1
2412,La3CuGeSe7,1
2413,RbYTe2O6,1
2414,CuInTe2,1
2415,LiIO3,1
2416,CsCd4Ga5Se12,1
2417,In0.5P0.5Ga0.5As0.5,1
2418,ZnS,1
2419,Cd6P7,1
2420,Ag2S,1
2421,Sb2Se3,1
2422,HgS,1
2423,CdGa2Se4,1
2424,Cs5BiP4Se12,1
2425,CdIO3Cl,1
2426,Eu4Te7,1
2427,V3As2O9,1
2428,GdIn3S6,1
2429,In0.8P0.8Ga0.2As0.2,1
2430,Li8GeN4,1
2431,NaNbSe2O7,1
2432,CdS,1
2433,Pb0.85Sn0.15Te,1
2434,AlSb,1
2435,TlBr,1
2436,AgSbSe2,1
2437,BiI3,1
2438,EuVO4,1
2439,CsRbP2Se8,1
2440,Na2In2SiS6,1
2441,NaScSe2O6,1
2442,MoTe2,1
2443,As2Se3,1
2444,CdP4,1
2445,Ba6Al4B14O33,1
2446,Mg3B50C8,1
2447,InP,1
2448,BaCdSnS4,1
2449,ZnSe,1
2450,PbI2,1
2451,Zn0.75Cd0.25Se,1
2452,Li4Rb3B7O14,1
2453,AgInTe2,1
2454,AsTe,1
2455,Pb2O3,1
2456,K10Sn3P8Se24,1
2457,Sm2ZrSe5,1
2458,Ba5Ga2Se8,1
2459,Ce15B8N25,1
2460,In0.1As0.1Ga0.9P0.9,1
2461,Sn0.5GaZn3.5O6,1
2462,Cu2Se,1
2463,CuIn5S8,1
2464,BaGa2GeSe6,1
2465,Ga0.25Al0.75As,1
2466,Cs2Cu3DyTe4,1
2467,LiI,1
2468,Rb1.54Cd1.54Bi2.46S6,1
2469,Cu2CdSnS4,1
2470,CuGaSe2,1
2471,Pb2V3Se5O18,1
2472,Li2In2GeSe6,1
2473,GaP,1
2474,ZnTe,1
2475,Fe2Te3,1
2476,LiIO3,1
2477,SrTiO3,1
2478,CuGaInS3.5,1
2479,KAg2SbS3,1
2480,Tl2Hg3Se4,1
2481,RbSbS2,1
2482,La2YbCuSe5,1
2483,In2S3,1
2484,NaAsS2,1
2485,Ag0.4Cd0.5In2.2Te4,1
2486,Cs2Hg3S4,1
2487,GaSe,1
2488,ZnO,1
2489,BiSeI,1
2490,MgSe,1
2491,CdIn2Te4,1
2492,In4S5,1
2493,Gd2Mn4S7,1
2494,YbClWO4,1
2495,Ba3Ta5O14N,1
2496,PbCdP4O12,1
2497,Sr2SmTaO6,1
2498,CsYbZnSe3,1
2499,LiGaSe2,1
2500,HfS3,1
2501,Hg4As2HfCl6,1
2502,CdSb,1
2503,KBaSbSe3,1
2504,BiSCl,1
2505,RbMn4In5Se12,1
2506,MnSe,1
2507,Cu0.15In1.85Se2.85,1
2508,KUO3Cl,1
2509,CsTb9Cd4Se18,1
2510,GeAs,1
2511,Cd3MoTe2O10,1
2512,ZnSnAs2,1
2513,ZnIn2S4,1
2514,GaSb,1
2515,Pb0.7Ge0.3Se,1
2516,CsInGeS4,1
2517,BiTeI,1
2518,GaTe,1
2519,Cs2Cu2Sb2S5,1
2520,Pb2H2P2O6,1
2521,Na7.36Ga7.24Sn4.78Se24,1
2522,GaTe,1
2523,CeN,1
2524,KYTe2O6,1
2525,Rb4Ti3S14,1
2526,BaGa2S4,1
2527,CsCd4In5Se12,1
2528,La2MoO5,1
2529,BaZnSiSe4,1
2530,Pr4Te7,1
2531,TeO2,1
2532,CdGa2S4,1
2533,KV2I3O13,1
2534,Cd3P2,1
2535,GaSe,1
2536,CaMg2N2,1
2537,MgSe,1
2538,Pr2.48Tb0.52Ga1.67S7,1
2539,Zn3In2S6,1
2540,Pb2Bi5.9La2.1S14,1
2541,TlAsSe2,1
2542,CsYbZnSe3,1
2543,Cd3P2,1
2544,PbSbO2I,1
2545,Ba8Ga10Si36,1
2546,Bi2O3,1
2547,Pb0.83Sn0.17Te,1
2548,KNb3Se2O12,1
2549,ZnO,1
2550,Tl3AsSe3,1
2551,CdGa2Se4,1
2552,CeMn0.5OSe,1
2553,InSe,1
2554,As2S3,1
2555,ThOS,1
2556,Tl4Nb2S11,1
2557,SmTe,1
2558,Hg4As2.5InBr3.5,1
2559,Li4.5Fe0.5TeO6,1
2560,Bi25FeO39,1
2561,Hg0.2Zn0.8Te,1
2562,CdO,1
2563,Bi2Te0.1Se2.9,1
2564,PbSbBS4,1
2565,ZnGa2Se4,1
2566,CuBiP2Se6,1
2567,Pb10B3O13Br3,1
2568,AgGaS2,1
2569,AgBiP2S6,1
2570,SrThP2S8,1
2571,UO2,1
2572,CuGaSe2,1
2573,DyB6,1
2574,K1.25Pb3.5Bi7.25Se15,1
2575,K2Cd2Te3,1
2576,Gd4GaSbS9,1
2577,NdCuOTe,1
2578,CsBiS2,1
2579,CdSiAs2,1
2580,ZnS,1
2581,OsTe2,1
2582,PbBiBO4,1
2583,Rb2Hg3Sn2S8,1
2584,LiBi4Ta3O12,1
2585,BaGa2SiS6,1
2586,BaF2,1
2587,BaTiO3,1
2588,AlB12,1
2589,RbAg2TeS6,1
2590,Ba3P3O10Cl,1
2591,Sm2Mn3Sb4S12,1
2592,CdIn2S4,1
2593,CdS0.35Se0.65,1
2594,CoAs3,1
2595,GeSe2O6,1
2596,RbPSe6,1
2597,Cu3ErTe3,1
2598,KTaO3,1
2599,SnS,1
2600,CdS,1
2601,In0.9As0.9Cd0.1Te0.1,1
2602,CsZn4In5Se12,1
2603,Na2KSb,1
2604,Pb0.9Sn0.1Se,1
2605,RbF,1
2606,InP,1
2607,PbI2,1
2608,SbSeI,1
2609,LiZnN,1
2610,Zn0.75Cd0.25Se,1
2611,CsBi3Se5,1
2612,Cu3DySe3,1
2613,Bi12PO20,1
2614,TlInSe2,1
2615,CdIn2Te4,1
2616,AgGaSe2,1
2617,LiNbO3,1
2618,CuCl,1
2619,CuCdInSe3,1
2620,RuSbSe,1
2621,Co2Te3O8,1
2622,Li4SrB2O6,1
2623,As2S3,1
2624,K4GeSe4,1
2625,CdCl2,1
2626,AlB12,1
2627,Na4MgGe2Se6,1
2628,AgI,1
2629,TaON,1
2630,Ba3BSbSe6,1
2631,EuLu2Se4,1
2632,GaP,1
2633,As2S3,1
2634,Na4MgSi2Se6,1
2635,CaSe,1
2636,CsCeHgSe3,1
2637,PbGa2GeSe6,1
2638,In0.96As0.96Cd0.04Te0.04,1
2639,CsCu2AsS3,1
2640,Sb2Se3,1
2641,SrLa2S4,1
2642,SrTiO3,1
2643,InP2S4,1
2644,Ga0.8Sb0.8Cd0.2Te0.2,1
2645,EuSb2S4,1
2646,BaGa4Se7,1
2647,KRbBi8Se13,1
2648,In0.4Al0.6P,1
2649,K8Ga8Si38,1
2650,CuFeSe2,1
2651,Cd3As2,1
2652,La3Te4,1
2653,Rh2S3,1
2654,Ga1.01Sb0.99Te0.03,1
2655,In0.4P0.4Ga0.6As0.6,1
2656,GaSe,1
2657,GaAs,1
2658,Sb2Te3,1
2659,Er2Mo3O12,1
2660,TlSe,1
2661,GaSe,1
2662,Ge0.1Si0.9,1
2663,Y2S3,1
2664,Ba3ZnTa2O9,1
2665,CuBS2,1
2666,Zn0.4Hg0.6Se,1
2667,Ta2O5,1
2668,Pb0.75Sn0.25Se,1
2669,Cu2ZnGeS4,1
2670,Cu0.2In1.8Se2.8,1
2671,AgS,1
2672,OsP2,1
2673,RbZrPSe6,1
2674,Bi2S3,1
2675,Zn3P2,1
2676,GeO2,1
2677,CdSe,1
2678,Ag2SnSe3,1
2679,NdTe2,1
2680,NaSbS2,1
2681,Cu2GeSe3,1
2682,Pb2GeSe4O12,1
2683,CsSmZnSe3,1
2684,Sb3O4I,1
2685,NaBaB5O9,1
2686,Bi2SeI2O11,1
2687,CdP2,1
2688,Dy3Al0.5SiS7,1
2689,TlCr5S4Se4,1
2690,Nd2ZrS5,1
2691,MnTe,1
2692,LiInSe2,1
2693,Ga1.005Sb0.995Te0.015,1
2694,Ba3InS4Cl,1
2695,EuVO4,1
2696,CuGa3Se5,1
2697,Bi5O7I,1
2698,CsLaHgSe3,1
2699,Mg2Pb,1
2700,CdSe,1
2701,NaI,1
2702,NaAsSe2,1
2703,TlSe,1
2704,ReSi2,1
2705,CdTe,1
2706,Zn0.99Cd0.01Se,1
2707,NaIn3S5,1
2708,TiC0.9,1
2709,KPbB5O9,1
2710,GaTe,1
2711,In2Te,1
2712,Cu0.4In1.6Se2.6,1
2713,ZnSnAs2,1
2714,BaS,1
2715,Cu2In4Te7,1
2716,PbTe,1
2717,K2Au2SnS4,1
2718,TlBr,1
2719,K3NaSn3Se8,1
2720,Rb2CuNbS4,1
2721,AgO,1
2722,ZnO,1
2723,CdS,1
2724,Rb2TiCu2S4,1
2725,OsSb2,1
2726,SbSI,1
2727,LiAlB14,1
2728,Ba3Sn0.87Bi2.13Se8,1
2729,K2CuIn3Se6,1
2730,Ce2Te3,1
2731,KCd4Ga5Se12,1
2732,EuGa2Te4,1
2733,PbBr2,1
2734,ScN,1
2735,Ba3Gd2P4S16,1
2736,K2CsSb,1
2737,CoAsSe,1
2738,Sm4GaSbS9,1
2739,Hg3ZnS2Cl4,1
2740,BeO,1
2741,Ga1.05Sb0.95Se0.15,1
2742,CdGeAs2,1
2743,Na3WO4Cl,1
2744,GeAs2,1
2745,GaAs,1
2746,In0.01Al0.99P,1
2747,Ba4CuGa5Se12,1
2748,GaSb,1
2749,CsCd4Ga5Te12,1
2750,InAsI,1
2751,Ag3SbS3,1
2752,GaSb,1
2753,CuFeSe2,1
2754,Cu3ScSe3,1
2755,RbBiS2,1
2756,Hg0.8Zn0.2Te,1
2757,AlN,1
2758,SiAs,1
2759,In2Se3,1
2760,HgSc,1
2761,Pb4Sb6Se13,1
2762,CdP4,1
2763,CdSnAs2,1
2764,Cs6.40Na1.60Ga8Ge38,1
2765,NaYbP2S6,1
2766,GaN,1
2767,Rb3NaMo2O8,1
2768,BeS,1
2769,Ag7AsS6,1
2770,Ga2S3,1
2771,TlAsSe2,1
2772,Ag0.2Cd0.75In2.1Te4,1
2773,WSe2,1
2774,NdCuOS,1
2775,Zn0.99Cd0.01Se,1
2776,ZnB12O24H10,1
2777,CdTe,1
2778,CdS,1
2779,Cs2Hg6S7,1
2780,CaB6,1
2781,AgIn5S8,1
2782,K4P8Te4,1
2783,V2O5,1
2784,CuBr,1
2785,Hg2Br2Te2,1
2786,ScNiSb,1
2787,BaGa2GeSe6,1
2788,Na2Te,1
2789,In4As5O12Br3,1
2790,CuBr,1
2791,TaN,1
2792,Na2Mo2Se2O11,1
2793,K4Ag9Sb4S12,1
2794,K2Gd2Sb2Se9,1
2795,RbBi3Se5,1
2796,RuSbTe,1
2797,SnS,1
2798,BiI3,1
2799,Zn0.7S0.7Ga0.3P0.3,1
2800,ZnSiAs2,1
2801,Dy3GaS6,1
2802,ZnSe,1
2803,La2Ga0.33SbS5,1
2804,BaB2O4,1
2805,UO,1
2806,CuSbS2,1
2807,SmS,1
2808,InSnAsSe,1
2809,ZnSe,1
2810,Cs4Zr3S14,1
2811,Ba7AgGa5S15,1
2812,CaNd2S4,1
2813,CsSmZnSe3,1
2814,NaIn3Se5,1
2815,PSe,1
2816,Hg0.01Zn0.99Te,1
2817,TlScSe2,1
2818,Sb2Te3,1
2819,Tl2O3,1
2820,CdGeAs2,1
2821,Mg2Sn,1
2822,SrPb3Br8,1
2823,CuFeS2,1
2824,KSbS2,1
2825,RbCl,1
2826,MnSb2Se4,1
2827,K2TeI6,1
2828,Na2TeSe3,1
2829,Cd3As2,1
2830,CsSb,1
2831,CsZrPSe6,1
2832,Zn2In2S5,1
2833,Eu3Bi4S9,1
2834,Ga0.01Al0.99P,1
2835,RbBa2P5O15,1
2836,LiMgBi,1
2837,NaBiS2,1
2838,PbI2,1
2839,CdGeP2,1
2840,CoSb3,1
2841,InSe,1
2842,Bi25GaO39,1
2843,Ba12In4S19,1
2844,Cu0.1Ga1.9S2.9,1
2845,Bi7F11O5,1
2846,Zn0.01Cd0.99Se,1
2847,Sr4Te3O8Cl4,1
2848,BaIn2S4,1
2849,AgInSe2,1
2850,InSb,1
2851,BaTiO3,1
2852,SrGe2,1
2853,Cu0.1Ga1.9S2.9,1
2854,Cd4P2Cl3,1
2855,In0.98As0.98Cd0.02Te0.02,1
2856,GaSe,1
2857,InSe,1
2858,WO3,1
2859,Na2Ga2GeS6,1
2860,Ga0.5Al0.5As,1
2861,CuScO2,1
2862,Gd2O3,1
2863,InAs,1
2864,GaAs0.01P0.99,1
2865,LiInS2,1
2866,IrS2,1
2867,MnI2,1
2868,In0.4Ga0.6P,1
2869,TlBr,1
2870,AlP,1
2871,Eu1.83Ta15O32,1
2872,Ga2Te3O9,1
2873,In2Se,1
2874,Ba3Sb2S7,1
2875,RuPAs,1
2876,KAg2AsS3,1
2877,PrBN2,1
2878,Sr3Se3O8Cl,1
2879,LiBr,1
2880,Cd0.95Te0.95Al0.05Sb0.05,1
2881,Cs2Ga2Se5,1
2882,Cd3P2,1
2883,Zn3In2S6,1
2884,RbBi3Se5,1
2885,Pb0.9Ge0.1Se,1
2886,CuInSe2,1
2887,InAs,1
2888,Cu2Te3O8,1
2889,EuSnTe2,1
2890,CuI,1
2891,Ba2InDyTe5,1
2892,GaAs,1
2893,CsSmHgSe3,1
2894,Ca3B2N4,1
2895,Pb0.8Sn0.2Te,1
2896,EuSb2BO8,1
2897,K4Hf3Se14,1
2898,ZnO,1
2899,NaCeS3,1
2900,PbSnS3,1
2901,Si2Te3,1
2902,LaTaN2O,1
2903,Cs4Ta4P4Se24,1
2904,CdSe,1
2905,EuEr2Se4,1
2906,BaGe2,1
2907,TlInSe2,1
2908,Bi2CrI2O11,1
2909,Ga0.85As0.85Zn0.15Se0.15,1
2910,LiInSnS4,1
2911,Pr2Te3,1
2912,EuGa2Se4,1
2913,Na2ZnGe2Se6,1
2914,In2Se3,1
2915,Pr2Te4O11,1
2916,CoP3,1
2917,TlInTe2,1
2918,ZnIn2Te4,1
2919,RbCu2SbS3,1
2920,Tl2Hg3Te4,1
2921,Cr2S3,1
2922,InN,1
2923,Cu2O,1
2924,Er2Te3,1
2925,AgGaSiSe4,1
2926,Rb8Ga8Si38,1
2927,AgSbTe2,1
2928,Li2In2GeS6,1
2929,SnBr2,1
2930,ThO2,1
2931,Bi8Te7S5,1
2932,PbGa2SiSe6,1
2933,Li2ZnGe,1
2934,Na2RbSb,1
2935,TaGaS2,1
2936,K2Hg3S2.69Se1.31,1
2937,In0.3Al0.7P,1
2938,ZnO,1
2939,GaTe,1
2940,SrS,1
2941,LiGaS2,1
2942,In2Se3,1
2943,MnTe9,1
2944,LiCl,1
2945,PbTe,1
2946,TlSe,1
2947,CuIn2S3.5,1
2948,Cu2ZnSiS4,1
2949,Pb0.93TeGa0.07,1
2950,HgCuSe2O6,1
2951,LiBiS2,1
2952,CaBi2O4,1
2953,PbTe,1
2954,Tl3VS4,1
2955,DyTe1.40,1
2956,Rb3ZnB5O10,1
2957,Li0.5Pb1.75GeS4,1
2958,Cu2ZnSiS4,1
2959,SnS,1
2960,Mn1.95GdIn1.05S5,1
2961,BiI3,1
2962,Ge0.97Si0.03,1
2963,Cs2MgGe3Se8,1
2964,Hg0.72Cd0.28Te,1
2965,Pb0.98Te0.98Ge0.02S0.02,1
2966,CsHo9Cd4Se18,1
2967,CuInS2,1
2968,TlCl,1
2969,La2BaTe5O14,1
2970,RbSbSe2,1
2971,VO,1
2972,Ag2Ga2SiS6,1
2973,RbCu2AsS3,1
2974,TlBr,1
2975,La5Cu6.33O4S7,1
2976,Pb0.99Sn0.01Se,1
2977,CoAsS,1
2978,Ba3La3Cu6O14,1
2979,BiI3,1
2980,Zn4Sb3,1
2981,Cu0.01In1.99Se2.99,1
2982,K2Au2Sn2S6,1
2983,TaGaS2,1
2984,Ba7Sn5S15,1
2985,Se3Te,1
2986,Al2Se3,1
2987,Cu0.2Ga1.8S2.8,1
2988,NaLa2TaO6,1
2989,MoO3,1
2990,ReSi2,1
2991,Cs3Sb2Br9,1
2992,AgSbSe2,1
2993,Ca3N2,1
2994,InAs,1
2995,Cu3SmTe3,1
2996,KCeSe4,1
2997,BaAl4Se7,1
2998,K2Bi8Se13,1
2999,Sb2Te3,1
3000,PbSe,1
3001,CuP2,1
3002,RbI,1
3003,Fe2Te3,1
3004,Cd3P2,1
3005,NaCdAsS3,1
3006,Zn3P2,1
3007,V2O5,1
3008,Zn0.55Hg0.45Se,1
3009,TlSe,1
3010,As2S3,1
3011,Li2CdSnS4,1
3012,Rb2Cd3Se4,1
3013,SmSe,1
3014,InAs,1
3015,In0.8As0.8Ga0.2P0.2,1
3016,BaS,1
3017,Li4Cs3B7O14,1
3018,Rb2Cd3S4,1
3019,GaTe,1
3020,CdSc,1
3021,CdSnP2,1
3022,NaSmP2S6,1
3023,CdAs2,1
3024,AgGaS2,1
3025,PtP2,1
3026,Gd2Te3,1
3027,PbS,1
3028,Ag3AsSe3,1
3029,KSb,1
3030,CaZnOS,1
3031,PtSb2,1
3032,BaAuI5O15,1
3033,Mg2Co,1
3034,Ag2SnSe3,1
3035,CdSe,1
3036,AgGaO2,1
3037,Pb0.85Ge0.15Te,1
3038,CuGaS2,1
3039,EuS,1
3040,AgS,1
3041,Pb0.95Se0.95Ge0.05S0.05,1
3042,CdSb,1
3043,Bi4V2O11,1
3044,Ga2Te3,1
3045,HgIn2S4,1
3046,Li4.5Cr0.5TeO6,1
3047,ErIn3S6,1
3048,InAs,1
3049,Na2B6O9F2,1
3050,GeSe,1
3051,Pb0.95Se0.95Sn0.05Se0.05,1
3052,K8Zr6Se30,1
3053,Sr5V3O12F,1
3054,AgFeTe2,1
3055,CdS0.65Se0.35,1
3056,HgSnO3,1
3057,EuTe,1
3058,RbCu2VS4,1
3059,Pb6B4O13H2,1
3060,SnS0.4Se0.6,1
3061,InSb,1
3062,LaZnAsO,1
3063,RuP4,1
3064,CaLa2S4,1
3065,Sn0.5GaZn4.5O7,1
3066,Ba2GaErSe5,1
3067,NaBr,1
3068,Se0.4Te0.6,1
3069,Rb3Bi2I9,1
3070,Cd12Ge17B8O58,1
3071,Ca2ScSbO6,1
3072,CdTe,1
3073,Cu1.8S,1
3074,LaNbON2,1
3075,CdP4,1
3076,RbIn5S6,1
3077,AgFeTe2,1
3078,GaSb,1
3079,SnTe,1
3080,AlBi,1
3081,Rb2AgVS4,1
3082,Sm3Al0.33SiS7,1
3083,NaInSe2,1
3084,LaP,1
3085,AgI,1
3086,CdIn2Se4,1
3087,TiS2,1
3088,Zn0.15Cd0.85Se,1
3089,CuCl,1
3090,CsLu7S11,1
3091,FeP4,1
3092,CsSbS2O8,1
3093,OsSbSe,1
3094,In0.5As0.5Ga0.5P0.5,1
3095,ZnTc,1
3096,Ba2ZnSe3,1
3097,Cu3YSe3,1
3098,Ba2GaYSe5,1
3099,InSe,1
3100,AgSO4,1
3101,CdS,1
3102,Ce4Te7,1
3103,BaSbBS4,1
3104,Li2FeGeS4,1
3105,Ce3LuSe6,1
3106,Ga1.05Sb0.95Te0.15,1
3107,CsInTe2,1
3108,Ga1.005Sb0.995Se0.015,1
3109,TaGaS2,1
3110,PrAs,1
3111,Li4.5Al0.5TeO6,1
3112,K2Cd3Se4,1
3113,Pb0.72Se0.72Sn0.28Te0.28,1
3114,AgBr,1
3115,Ba2Ga8GeS16,1
3116,InS,1
3117,ZnGeN2,1
